States,Account_Length,Area-Code,Phone,International Plan,Vmail Plan,Vmail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge ,International Mins,International Calls,International Charge,Cutserv Calls,Churn_Flag
MN,152.00,415.00, 416-2778,1.00,1.00,20.00,238.00,120.00,40.00,253.00,94.00,22.00,265.00,80.00,12.00,14.00,3.00,4.00,9.00,1.00
NJ,53.00,408.00, 416-6886,0.00,0.00,0.00,229.00,117.00,39.00,133.00,123.00,11.00,227.00,124.00,10.00,10.00,2.00,3.00,9.00,1.00
NH,103.00,408.00, 371-1727,0.00,0.00,0.00,151.00,125.00,26.00,169.00,126.00,14.00,221.00,104.00,10.00,10.00,8.00,3.00,8.00,1.00
WV,176.00,510.00, 382-4771,0.00,0.00,0.00,304.00,111.00,52.00,307.00,64.00,26.00,208.00,98.00,9.00,10.00,2.00,3.00,7.00,1.00
KS,116.00,408.00, 406-5281,1.00,0.00,0.00,232.00,98.00,39.00,245.00,91.00,21.00,151.00,69.00,7.00,11.00,1.00,3.00,7.00,1.00
VT,99.00,415.00, 380-8727,0.00,0.00,0.00,116.00,75.00,20.00,218.00,111.00,19.00,255.00,98.00,11.00,12.00,7.00,3.00,7.00,1.00
HI,99.00,408.00, 413-9328,0.00,0.00,0.00,136.00,107.00,23.00,208.00,103.00,18.00,209.00,95.00,9.00,9.00,3.00,2.00,7.00,1.00
MI,146.00,408.00, 405-7676,0.00,0.00,0.00,149.00,83.00,25.00,187.00,130.00,16.00,150.00,100.00,7.00,8.00,4.00,2.00,7.00,1.00
AR,115.00,415.00, 385-7157,0.00,0.00,0.00,139.00,89.00,24.00,192.00,95.00,16.00,151.00,75.00,7.00,9.00,3.00,3.00,7.00,1.00
AL,86.00,415.00, 380-3437,0.00,0.00,0.00,128.00,121.00,22.00,197.00,93.00,17.00,138.00,152.00,6.00,12.00,5.00,3.00,7.00,1.00
ID,69.00,510.00, 403-8396,1.00,0.00,0.00,200.00,121.00,34.00,189.00,92.00,16.00,264.00,120.00,12.00,11.00,4.00,3.00,6.00,1.00
AR,109.00,415.00, 409-6588,0.00,1.00,29.00,111.00,90.00,19.00,264.00,98.00,22.00,225.00,128.00,10.00,9.00,6.00,2.00,6.00,1.00
NC,95.00,408.00, 384-3413,0.00,0.00,0.00,129.00,115.00,22.00,216.00,88.00,18.00,255.00,96.00,11.00,6.00,2.00,2.00,6.00,1.00
MS,73.00,415.00, 412-2520,0.00,1.00,31.00,82.00,105.00,14.00,256.00,91.00,22.00,230.00,98.00,10.00,12.00,2.00,3.00,6.00,1.00
TN,17.00,510.00, 382-5401,0.00,1.00,31.00,153.00,115.00,26.00,186.00,59.00,16.00,224.00,102.00,10.00,10.00,1.00,3.00,6.00,1.00
MO,178.00,408.00, 416-5599,0.00,1.00,32.00,149.00,95.00,25.00,199.00,55.00,17.00,187.00,113.00,8.00,10.00,7.00,3.00,6.00,1.00
WA,100.00,408.00, 382-4932,0.00,0.00,0.00,71.00,94.00,12.00,216.00,102.00,18.00,231.00,125.00,10.00,10.00,1.00,3.00,6.00,1.00
